name;location;cel;responsible_name;availability_time;associated;location_link
CEGYR;Viamonte 1432, C1055ABB Cdad. Autónoma de Buenos Aires, Argentina;1138418079;Joaco;"{0:""8:00-18:00"",1:""8:00-18:00"",2:""8:00-18:00"",3:""8:00-18:00"",4:""8:00-18:00"",5:""8:00-15:00""}";0;https://maps.app.goo.gl/amrZtjduX7W4dnwWA
Mod Boutique;Lavalle 1599, C1048AAK Cdad. Autónoma de Buenos Aires, Argentina;1130025813;Micaela;"{0:""9:00-18:00"",1:""9:00-18:00"",2:""9:00-18:00"",3:""9:00-18:00"",4:""9:00-18:00"",5:""9:30-12:00""}";0;https://maps.app.goo.gl/UXUet4yuMojpoRfn8
Optica PSOI;Av. Rivadavia 1968, C1033AAW Cdad. Autónoma de Buenos Aires, Argentina;1541784037;Adrian;"{0:""9:00-18:00"",1:""9:00-18:00"",2:""9:00-18:00"",3:""9:00-18:00"",4:""9:00-18:00"",5:""9:00-13:00""}";0;https://maps.app.goo.gl/T1LPeCkL4JDPvV3T7
Obra Social Ferroviaria;Estados Unidos 2859, C1615ABU Cdad. Autónoma de Buenos Aires, Argentina;1122388236;Mili;"{0:""9:00-17:00"",1:""9:00-17:00"",2:""9:00-17:00"",3:""9:00-17:00"",4:""9:00-17:00""}";0;https://maps.app.goo.gl/3FELRdxWd72zkAE47
Upa Disfraces y Cotillón;Cuenca 1024, C1416 Cdad. Autónoma de Buenos Aires, Argentina;1149897969;Lorena;"{0:""10:00-18:00"",1:""10:00-18:00"",2:""10:00-18:00"",3:""10:00-18:00"",4:""10:00-18:00"",5:""8:00-17:00""}";0;https://maps.app.goo.gl/Q2xK6XJ7RQEsqU6i9
Cotillón Disfraz Cabezón;Av. Rivadavia 3314, C1177 Cdad. Autónoma de Buenos Aires, Argentina;1149897969;Lorena;"{0:""10:00-14:00"",1:""10:00-20:00"",2:""10:00-20:00"",3:""10:00-20:00"",4:""10:00-20:00"",5:""10:00-20:00""}";0;https://maps.app.goo.gl/16VgHuXMGqusjb6t8
Animaladas;Tte. Evangelio G. Ford 1675, B1838AAM Luis Guillon, Provincia de Buenos Aires, Argentina;1130219151;Demian;"{0:""9:00-20:00"",1:""9:00-20:00"",2:""9:00-20:00"",3:""9:00-20:00"",4:""9:00-13:00, 17:00-20:00"",5:""9:00-13:00, 17:00-20:00""}";0;https://maps.app.goo.gl/QBPUHQGbvUVph2Np7
Deli Moon Drugstores (Nordelta);Av. de los Lagos 7008, B1670 Buenos Aires, Provincia de Buenos Aires, Argentina;1138418079;Joaco;"{0:""8:00-22:00"",1:""8:00-22:00"",2:""8:00-22:00"",3:""8:00-22:00"",4:""8:00-00:00"",5:""8:00-00:00"",6:""8:00-22:00""}";0;https://maps.app.goo.gl/RYq988PpKNewmDbJ6
Bombix Intimates;Las Flores 161, B1875DDC Wilde, Provincia de Buenos Aires, Argentina;1160397585;Sofi;"{1:""15:00-20:00"",2:""15:00-20:00"",3:""15:00-20:00"",4:""11:00-20:00"",5:""11:00-20:00""}";0;https://maps.app.goo.gl/5SKV4ugZpSdRPHie8
Compañía de Chocolates;Juan Francisco Seguí 3551, C1425ACA Cdad. Autónoma de Buenos Aires;1134583486;Luli;"{0:""8:00-20:00"",1:""8:00-20:00"",2:""8:00-20:00"",3:""8:00-20:00"",4:""8:00-20:00"",5:""8:00-20:00"",6:""8:00-20:00""}";0;https://maps.app.goo.gl/fybjHLuy9B3MmBaz8?g_st=ipc
Farmacia Santa Catalina;Brasil 800, C1154 Cdad. Autónoma de Buenos Aires;1136926276;Elizabeth;"{0:""8:00-20:00"",1:""8:00-20:00"",2:""8:00-20:00"",3:""8:00-20:00"",4:""8:00-20:00"",5:""9:00-14:00""}";0;https://maps.app.goo.gl/iVL5atpXu73wDgfm8?g_st=ipc
